rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
2551	CCNL2	cyclin L2	371875	1	1	1	1	0	0	0	1	0	0	0.183	0.948	NaN	NaN	NaN	0.183	1.000
2552	ARHGAP30	Rho GTPase activating protein 30	823374	2	2	2	1	2	0	0	0	0	0	0.333	0.826	0.362	0.0113	0.134	0.183	1.000
2553	TMEM132B	transmembrane protein 132B	801201	2	2	2	0	2	0	0	0	0	0	0.228	0.373	0.979	0.135	0.196	0.183	1.000
2554	PLIN5	perilipin 5	234782	1	1	1	1	0	1	0	0	0	0	0.183	0.880	NaN	NaN	NaN	0.183	1.000
2555	HIST1H1A	histone cluster 1, H1a	160391	1	1	1	0	1	0	0	0	0	0	0.183	0.560	NaN	NaN	NaN	0.183	1.000
2556	PCDH11X	protocadherin 11 X-linked	949905	3	3	3	1	0	3	0	0	0	0	0.117	0.782	0.263	0.174	0.380	0.183	1.000
2557	WDR4	WD repeat domain 4	244368	1	1	1	0	0	0	1	0	0	0	0.183	0.822	NaN	NaN	NaN	0.183	1.000
2558	ZNF622	zinc finger protein 622	358636	1	1	1	0	0	0	0	0	1	0	0.183	0.862	NaN	NaN	NaN	0.183	1.000
2559	SLC4A3	solute carrier family 4, anion exchanger, member 3	896563	2	2	2	0	0	1	0	0	1	0	0.285	0.660	0.459	0.0756	0.157	0.183	1.000
2560	POM121C	POM121 membrane glycoprotein C	527332	2	2	2	0	0	0	0	0	2	0	0.166	0.749	0.0371	0.0904	0.269	0.184	1.000
2561	ZFP28	zinc finger protein 28 homolog (mouse)	610810	3	3	3	2	0	1	0	0	2	0	0.139	0.953	0.321	0.240	0.321	0.184	1.000
2562	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	187942	1	1	1	0	0	0	0	0	1	0	0.184	0.692	NaN	NaN	NaN	0.184	1.000
2563	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	286239	1	1	1	0	0	1	0	0	0	0	0.184	0.742	NaN	NaN	NaN	0.184	1.000
2564	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	295957	1	1	1	1	0	0	0	1	0	0	0.184	0.938	NaN	NaN	NaN	0.184	1.000
2565	GLT1D1	glycosyltransferase 1 domain containing 1	186917	1	1	1	0	0	0	0	0	1	0	0.184	0.619	NaN	NaN	NaN	0.184	1.000
2566	ENO1	enolase 1, (alpha)	331779	2	2	2	1	1	0	0	0	1	0	0.0448	0.771	0.668	0.649	1.000	0.184	1.000
2567	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	307342	2	2	2	1	0	1	0	0	1	0	0.0734	0.745	0.106	0.787	0.610	0.184	1.000
2568	STXBP6	syntaxin binding protein 6 (amisyn)	138285	1	1	1	0	0	0	0	0	1	0	0.184	1.000	NaN	NaN	NaN	0.184	1.000
2569	UBE2U	ubiquitin-conjugating enzyme E2U (putative)	172274	1	1	1	0	0	0	0	0	1	0	0.184	0.751	NaN	NaN	NaN	0.184	1.000
2570	WIBG	within bgcn homolog (Drosophila)	144145	1	1	1	0	1	0	0	0	0	0	0.185	0.731	NaN	NaN	NaN	0.185	1.000
2571	IL1RAPL2	interleukin 1 receptor accessory protein-like 2	512986	2	2	2	0	0	1	0	1	0	0	0.0450	0.651	0.463	0.398	1.000	0.185	1.000
2572	HSDL2	hydroxysteroid dehydrogenase like 2	315106	1	1	1	0	0	0	1	0	0	0	0.185	0.721	NaN	NaN	NaN	0.185	1.000
2573	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	572088	2	2	2	0	1	1	0	0	0	0	0.297	0.417	0.356	0.0226	0.151	0.185	1.000
2574	UBR3	ubiquitin protein ligase E3 component n-recognin 3	576711	2	2	2	0	0	0	1	1	0	0	0.0557	0.628	0.461	0.916	0.809	0.185	1.000
2575	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa	136776	1	1	1	0	0	1	0	0	0	0	0.185	0.746	NaN	NaN	NaN	0.185	1.000
2576	KAT5	K(lysine) acetyltransferase 5	385356	1	1	1	0	0	0	1	0	0	0	0.185	0.844	NaN	NaN	NaN	0.185	1.000
2577	PPP3R2	protein phosphatase 3 (formerly 2B), regulatory subunit B, beta isoform	129396	1	1	1	0	0	1	0	0	0	0	0.185	0.631	NaN	NaN	NaN	0.185	1.000
2578	SRP68	signal recognition particle 68kDa	474799	1	1	1	0	0	0	0	0	1	0	0.185	0.723	NaN	NaN	NaN	0.185	1.000
2579	SYCP3	synaptonemal complex protein 3	180686	1	1	1	0	1	0	0	0	0	0	0.185	0.666	NaN	NaN	NaN	0.185	1.000
2580	FAM45A	family with sequence similarity 45, member A	254418	1	1	1	0	1	0	0	0	0	0	0.185	0.619	NaN	NaN	NaN	0.185	1.000
2581	ABHD8	abhydrolase domain containing 8	325725	2	2	2	0	0	0	2	0	0	0	0.0481	0.708	0.410	0.596	0.938	0.185	1.000
2582	SAT2	spermidine/spermine N1-acetyltransferase family member 2	132102	1	1	1	0	1	0	0	0	0	0	0.185	0.647	NaN	NaN	NaN	0.185	1.000
2583	OR5L1	olfactory receptor, family 5, subfamily L, member 1	231171	1	1	1	0	0	1	0	0	0	0	0.185	0.655	NaN	NaN	NaN	0.185	1.000
2584	PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	311054	2	2	2	1	0	0	1	0	1	0	0.0452	0.834	0.993	0.381	1.000	0.185	1.000
2585	DBC1	deleted in bladder cancer 1	563207	2	2	2	0	2	0	0	0	0	0	0.142	0.564	0.252	0.592	0.318	0.185	1.000
2586	LYSMD3	LysM, putative peptidoglycan-binding, domain containing 3	227971	1	1	1	0	0	0	0	1	0	0	0.185	0.853	NaN	NaN	NaN	0.185	1.000
2587	CDKL3	cyclin-dependent kinase-like 3	315055	1	1	1	0	0	1	0	0	0	0	0.185	0.819	NaN	NaN	NaN	0.185	1.000
2588	KRT33A	keratin 33A	305461	1	1	1	1	0	0	0	1	0	0	0.185	0.985	NaN	NaN	NaN	0.185	1.000
2589	ANKRD6	ankyrin repeat domain 6	400987	1	1	1	0	0	0	0	1	0	0	0.186	0.837	NaN	NaN	NaN	0.186	1.000
2590	TUBB1	tubulin, beta 1	337484	1	1	1	0	0	0	0	1	0	0	0.186	0.844	NaN	NaN	NaN	0.186	1.000
2591	ANKRD28	ankyrin repeat domain 28	656202	2	2	2	0	0	0	1	1	0	0	0.108	0.579	0.205	0.610	0.422	0.186	1.000
2592	FZD2	frizzled homolog 2 (Drosophila)	393066	4	1	4	3	0	2	0	1	1	0	0.340	0.845	0.0896	0.931	0.134	0.186	1.000
2593	VIPR1	vasoactive intestinal peptide receptor 1	266595	1	1	1	1	0	1	0	0	0	0	0.186	0.872	NaN	NaN	NaN	0.186	1.000
2594	BAIAP2L2	BAI1-associated protein 2-like 2	287495	1	1	1	0	0	0	0	0	1	0	0.186	1.000	NaN	NaN	NaN	0.186	1.000
2595	TTLL3	tubulin tyrosine ligase-like family, member 3	571647	3	3	3	0	0	1	0	0	2	0	0.0455	0.317	0.742	0.494	1.000	0.186	1.000
2596	TP53TG5	TP53 target 5	219255	2	2	1	0	2	0	0	0	0	0	0.0455	0.496	0.0453	0.754	1.000	0.186	1.000
2597	TTC26	tetratricopeptide repeat domain 26	426581	2	2	2	0	0	1	1	0	0	0	0.0720	0.601	0.343	0.390	0.632	0.186	1.000
2598	SAMD3	sterile alpha motif domain containing 3	393238	1	1	1	1	0	0	0	0	1	0	0.186	1.000	NaN	NaN	NaN	0.186	1.000
2599	FAM101A	family with sequence similarity 101, member A	97309	1	1	1	0	1	0	0	0	0	0	0.186	0.708	NaN	NaN	NaN	0.186	1.000
2600	ADAM10	ADAM metallopeptidase domain 10	551499	1	1	1	0	0	0	1	0	0	0	0.186	0.716	NaN	NaN	NaN	0.186	1.000
2601	PID1	phosphotyrosine interaction domain containing 1	155471	1	1	1	1	1	0	0	0	0	0	0.186	0.947	NaN	NaN	NaN	0.186	1.000
2602	PEX12	peroxisomal biogenesis factor 12	268629	1	1	1	0	0	0	0	0	1	0	0.187	1.000	NaN	NaN	NaN	0.187	1.000
2603	SLFNL1	schlafen-like 1	266876	1	1	1	0	0	1	0	0	0	0	0.187	0.630	NaN	NaN	NaN	0.187	1.000
2604	CKB	creatine kinase, brain	224864	1	1	1	0	0	1	0	0	0	0	0.187	0.622	NaN	NaN	NaN	0.187	1.000
2605	GPC3	glypican 3	405947	2	2	2	0	0	0	0	1	1	0	0.0457	0.858	0.736	0.970	1.000	0.187	1.000
2606	CCDC76	coiled-coil domain containing 76	360377	1	1	1	0	0	0	1	0	0	0	0.187	0.720	NaN	NaN	NaN	0.187	1.000
2607	TNFSF8	tumor necrosis factor (ligand) superfamily, member 8	177339	1	1	1	0	0	0	1	0	0	0	0.187	0.801	NaN	NaN	NaN	0.187	1.000
2608	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	313885	1	1	1	0	0	0	0	1	0	0	0.187	0.850	NaN	NaN	NaN	0.187	1.000
2609	STYX	serine/threonine/tyrosine interacting protein	174933	1	1	1	0	0	1	0	0	0	0	0.187	0.834	NaN	NaN	NaN	0.187	1.000
2610	TCF19	transcription factor 19 (SC1)	246865	1	1	1	0	0	1	0	0	0	0	0.187	0.722	NaN	NaN	NaN	0.187	1.000
2611	OVGP1	oviductal glycoprotein 1, 120kDa (mucin 9, oviductin)	510780	1	1	1	0	0	0	1	0	0	0	0.187	0.749	NaN	NaN	NaN	0.187	1.000
2612	KARS	lysyl-tRNA synthetase	477965	1	1	1	0	1	0	0	0	0	0	0.187	0.712	NaN	NaN	NaN	0.187	1.000
2613	ALDH1A3	aldehyde dehydrogenase 1 family, member A3	358632	1	1	1	1	0	0	1	0	0	0	0.187	0.961	NaN	NaN	NaN	0.187	1.000
2614	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	793886	4	4	4	1	2	1	0	0	1	0	0.0517	0.642	0.663	0.843	0.886	0.187	1.000
2615	RPA2	replication protein A2, 32kDa	208753	1	1	1	0	0	1	0	0	0	0	0.187	0.757	NaN	NaN	NaN	0.187	1.000
2616	ZNF502	zinc finger protein 502	404131	1	1	1	0	0	0	1	0	0	0	0.187	0.738	NaN	NaN	NaN	0.187	1.000
2617	TH1L	TH1-like (Drosophila)	436579	1	1	1	0	0	0	0	1	0	0	0.187	0.846	NaN	NaN	NaN	0.187	1.000
2618	ALG12	asparagine-linked glycosylation 12 homolog (S. cerevisiae, alpha-1,6-mannosyltransferase)	367875	1	1	1	0	0	0	1	0	0	0	0.187	0.838	NaN	NaN	NaN	0.187	1.000
2619	NCKAP5	NCK-associated protein 5	1329630	3	3	3	1	0	2	0	0	1	0	0.184	0.861	0.505	0.114	0.249	0.187	1.000
2620	CXCR2	chemokine (C-X-C motif) receptor 2	267402	1	1	1	0	0	0	0	1	0	0	0.187	0.825	NaN	NaN	NaN	0.187	1.000
2621	EFHC1	EF-hand domain (C-terminal) containing 1	482194	1	1	1	1	0	0	0	0	1	0	0.187	1.000	NaN	NaN	NaN	0.187	1.000
2622	C1QTNF9B	C1q and tumor necrosis factor related protein 9B	243510	1	1	1	0	0	0	1	0	0	0	0.187	0.732	NaN	NaN	NaN	0.187	1.000
2623	PLVAP	plasmalemma vesicle associated protein	332724	1	1	1	0	0	0	0	1	0	0	0.187	0.850	NaN	NaN	NaN	0.187	1.000
2624	OR9Q1	olfactory receptor, family 9, subfamily Q, member 1	230305	1	1	1	0	0	1	0	0	0	0	0.187	0.657	NaN	NaN	NaN	0.187	1.000
2625	DMBX1	diencephalon/mesencephalon homeobox 1	280011	2	2	2	0	0	1	1	0	0	0	0.0509	0.542	0.535	0.798	0.903	0.188	1.000
2626	GLI4	GLI-Kruppel family member GLI4	163664	1	1	1	0	0	1	0	0	0	0	0.188	0.655	NaN	NaN	NaN	0.188	1.000
2627	ASPN	asporin	286409	1	1	1	0	0	0	0	0	1	0	0.188	1.000	NaN	NaN	NaN	0.188	1.000
2628	RSPH4A	radial spoke head 4 homolog A (Chlamydomonas)	530591	1	1	1	0	1	0	0	0	0	0	0.188	0.693	NaN	NaN	NaN	0.188	1.000
2629	RAI14	retinoic acid induced 14	737400	3	3	3	0	0	1	1	0	1	0	0.0608	0.506	0.544	0.849	0.757	0.188	1.000
2630	RPL5	ribosomal protein L5	227345	1	1	1	0	0	0	1	0	0	0	0.188	0.759	NaN	NaN	NaN	0.188	1.000
2631	PSPC1	paraspeckle component 1	394571	2	2	2	1	1	1	0	0	0	0	0.0682	0.837	0.595	0.567	0.676	0.188	1.000
2632	OR6N1	olfactory receptor, family 6, subfamily N, member 1	231222	1	1	1	0	0	0	0	1	0	0	0.188	0.823	NaN	NaN	NaN	0.188	1.000
2633	TEX9	testis expressed 9	296419	1	1	1	0	0	0	0	0	1	0	0.188	0.880	NaN	NaN	NaN	0.188	1.000
2634	MFAP4	microfibrillar-associated protein 4	165238	1	1	1	0	0	1	0	0	0	0	0.188	0.673	NaN	NaN	NaN	0.188	1.000
2635	KCTD19	potassium channel tetramerisation domain containing 19	698829	3	3	3	0	1	1	0	0	1	0	0.0535	0.476	0.549	0.903	0.863	0.188	1.000
2636	MRTO4	mRNA turnover 4 homolog (S. cerevisiae)	178939	1	1	1	0	0	0	0	1	0	0	0.188	0.864	NaN	NaN	NaN	0.188	1.000
2637	DSEL	dermatan sulfate epimerase-like	902927	2	2	2	0	0	1	1	0	0	0	0.212	0.585	0.0342	0.857	0.219	0.188	1.000
2638	NAV2	neuron navigator 2	1828596	8	8	8	2	3	3	1	1	0	0	0.0463	0.391	0.825	0.879	1.000	0.189	1.000
2639	SRRD	SRR1 domain containing	205012	1	1	1	1	0	0	0	1	0	0	0.189	0.969	NaN	NaN	NaN	0.189	1.000
2640	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1	222002	1	1	1	0	0	0	0	0	1	0	0.189	0.837	NaN	NaN	NaN	0.189	1.000
2641	FAM134B	family with sequence similarity 134, member B	317561	1	1	1	0	0	0	1	0	0	0	0.189	0.732	NaN	NaN	NaN	0.189	1.000
2642	CDH17	cadherin 17, LI cadherin (liver-intestine)	626081	3	3	3	1	2	0	0	0	1	0	0.0541	0.639	0.981	0.246	0.857	0.189	1.000
2643	RUNDC3A	RUN domain containing 3A	172111	1	1	1	1	1	0	0	0	0	0	0.189	0.888	NaN	NaN	NaN	0.189	1.000
2644	DNAJB11	DnaJ (Hsp40) homolog, subfamily B, member 11	261261	1	1	1	1	0	0	1	0	0	0	0.189	0.926	NaN	NaN	NaN	0.189	1.000
2645	ADAD2	adenosine deaminase domain containing 2	387314	2	2	2	0	2	0	0	0	0	0	0.0991	0.454	0.398	0.532	0.468	0.189	1.000
2646	MCHR2	melanin-concentrating hormone receptor 2	256237	2	2	2	2	1	0	0	0	1	0	0.150	0.969	0.316	0.306	0.311	0.189	1.000
2647	CTGF	connective tissue growth factor	190158	1	1	1	0	0	1	0	0	0	0	0.189	0.691	NaN	NaN	NaN	0.189	1.000
2648	HEXIM1	hexamethylene bis-acetamide inducible 1	253329	1	1	1	0	0	0	0	0	1	0	0.189	1.000	NaN	NaN	NaN	0.189	1.000
2649	SMAP1	stromal membrane-associated GTPase-activating protein 1	320388	1	1	1	0	0	0	0	0	1	0	0.189	1.000	NaN	NaN	NaN	0.189	1.000
2650	ZDHHC17	zinc finger, DHHC-type containing 17	369402	1	1	1	1	0	0	1	0	0	0	0.190	0.915	NaN	NaN	NaN	0.190	1.000
2651	CAPN11	calpain 11	482304	2	2	2	0	1	0	0	0	1	0	0.130	0.682	0.337	0.440	0.357	0.190	1.000
2652	NAAA	N-acylethanolamine acid amidase	255177	1	1	1	0	0	0	0	1	0	0	0.190	0.831	NaN	NaN	NaN	0.190	1.000
2653	UNC119B	unc-119 homolog B (C. elegans)	130129	1	1	1	0	1	0	0	0	0	0	0.190	0.772	NaN	NaN	NaN	0.190	1.000
2654	KIF12	kinesin family member 12	335941	1	1	1	1	0	0	1	0	0	0	0.190	0.929	NaN	NaN	NaN	0.190	1.000
2655	RHOJ	ras homolog gene family, member J	162573	1	1	1	1	0	0	0	0	1	0	0.190	0.889	NaN	NaN	NaN	0.190	1.000
2656	C14orf101	chromosome 14 open reading frame 101	497641	1	1	1	0	1	0	0	0	0	0	0.190	0.667	NaN	NaN	NaN	0.190	1.000
2657	LMAN2	lectin, mannose-binding 2	270488	1	1	1	0	0	0	0	0	1	0	0.190	1.000	NaN	NaN	NaN	0.190	1.000
2658	OR2C1	olfactory receptor, family 2, subfamily C, member 1	229916	1	1	1	0	1	0	0	0	0	0	0.191	0.685	NaN	NaN	NaN	0.191	1.000
2659	MORF4L1	mortality factor 4 like 1	265139	1	1	1	0	0	0	1	0	0	0	0.191	0.736	NaN	NaN	NaN	0.191	1.000
2660	CMKLR1	chemokine-like receptor 1	276258	2	2	2	0	0	2	0	0	0	0	0.0504	0.402	0.976	0.392	0.932	0.191	1.000
2661	GSTM3	glutathione S-transferase M3 (brain)	154621	1	1	1	0	0	1	0	0	0	0	0.191	0.699	NaN	NaN	NaN	0.191	1.000
2662	CAT	catalase	390225	2	2	2	0	0	0	1	0	1	0	0.0702	0.755	0.216	0.595	0.669	0.191	1.000
2663	SEC14L2	SEC14-like 2 (S. cerevisiae)	316935	1	1	1	0	0	1	0	0	0	0	0.191	0.687	NaN	NaN	NaN	0.191	1.000
2664	G2E3	G2/M-phase specific E3 ubiquitin protein ligase	527214	1	1	1	0	1	0	0	0	0	0	0.191	0.776	NaN	NaN	NaN	0.191	1.000
2665	SPPL2B	signal peptide peptidase like 2B	318803	1	1	1	0	0	0	0	1	0	0	0.191	0.807	NaN	NaN	NaN	0.191	1.000
2666	LIPT1	lipoyltransferase 1	276633	1	1	1	0	0	1	0	0	0	0	0.191	0.784	NaN	NaN	NaN	0.191	1.000
2667	PRKCZ	protein kinase C, zeta	381322	2	2	2	0	1	1	0	0	0	0	0.117	0.455	0.539	0.217	0.403	0.191	1.000
2668	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	362725	1	1	1	0	0	0	0	0	1	0	0.191	1.000	NaN	NaN	NaN	0.191	1.000
2669	LXN	latexin	165818	1	1	1	0	0	1	0	0	0	0	0.191	0.815	NaN	NaN	NaN	0.191	1.000
2670	SRI	sorcin	143585	1	1	1	0	1	0	0	0	0	0	0.192	0.673	NaN	NaN	NaN	0.192	1.000
2671	ZNF292	zinc finger protein 292	1666660	4	4	4	1	0	0	0	1	3	0	0.0821	0.724	0.848	0.271	0.576	0.192	1.000
2672	ADIPOR2	adiponectin receptor 2	292467	1	1	1	0	0	0	1	0	0	0	0.192	0.761	NaN	NaN	NaN	0.192	1.000
2673	ZBTB8A	zinc finger and BTB domain containing 8A	328803	1	1	1	0	0	0	0	0	1	0	0.192	1.000	NaN	NaN	NaN	0.192	1.000
2674	DKC1	dyskeratosis congenita 1, dyskerin	369854	1	1	1	0	0	0	0	1	0	0	0.192	0.847	NaN	NaN	NaN	0.192	1.000
2675	OR10H3	olfactory receptor, family 10, subfamily H, member 3	234438	1	1	1	0	0	1	0	0	0	0	0.192	0.657	NaN	NaN	NaN	0.192	1.000
2676	SLC35E1	solute carrier family 35, member E1	204669	1	1	1	0	1	0	0	0	0	0	0.192	0.660	NaN	NaN	NaN	0.192	1.000
2677	SYNGR2	synaptogyrin 2	144648	1	1	1	0	1	0	0	0	0	0	0.192	0.676	NaN	NaN	NaN	0.192	1.000
2678	TBC1D26	TBC1 domain family, member 26	169831	1	1	1	0	0	0	0	0	1	0	0.192	1.000	NaN	NaN	NaN	0.192	1.000
2679	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)	561426	2	2	2	1	0	2	0	0	0	0	0.142	0.737	0.293	0.206	0.335	0.192	1.000
2680	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	294969	2	2	2	0	0	0	2	0	0	0	0.0476	0.613	0.944	0.983	1.000	0.192	1.000
2681	R3HDM2	R3H domain containing 2	486746	1	1	1	1	0	0	0	0	1	0	0.193	0.934	NaN	NaN	NaN	0.193	1.000
2682	BRD1	bromodomain containing 1	787170	3	3	3	0	1	1	1	0	0	0	0.0770	0.367	0.925	0.262	0.618	0.193	1.000
2683	ASPHD2	aspartate beta-hydroxylase domain containing 2	275968	2	2	2	0	2	0	0	0	0	0	0.0476	0.443	0.814	0.266	1.000	0.193	1.000
2684	DGCR8	DiGeorge syndrome critical region gene 8	583742	2	2	2	1	1	0	0	0	1	0	0.225	0.762	0.933	0.107	0.212	0.193	1.000
2685	FBXO43	F-box protein 43	524863	1	1	1	0	1	0	0	0	0	0	0.193	0.690	NaN	NaN	NaN	0.193	1.000
2686	FAM70B	family with sequence similarity 70, member B	231361	2	2	2	1	1	1	0	0	0	0	0.0616	0.707	0.536	0.813	0.774	0.193	1.000
2687	KRT26	keratin 26	350037	1	1	1	0	0	0	0	0	1	0	0.193	0.697	NaN	NaN	NaN	0.193	1.000
2688	CRB1	crumbs homolog 1 (Drosophila)	1044996	2	2	2	1	1	1	0	0	0	0	0.419	0.820	0.260	0.148	0.114	0.193	1.000
2689	DEK	DEK oncogene (DNA binding)	269997	1	1	1	0	0	0	1	0	0	0	0.193	0.770	NaN	NaN	NaN	0.193	1.000
2690	ZMYND12	zinc finger, MYND-type containing 12	277739	2	2	2	0	1	0	1	0	0	0	0.0478	0.628	0.877	0.351	1.000	0.193	1.000
2691	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	899408	2	2	2	1	1	1	0	0	0	0	0.248	0.838	0.934	0.137	0.193	0.193	1.000
2692	KANK3	KN motif and ankyrin repeat domains 3	249466	2	2	2	0	0	0	0	0	2	0	0.0479	0.613	0.978	0.459	1.000	0.193	1.000
2693	FOXN3	forkhead box N3	366963	1	1	1	1	0	0	0	0	1	0	0.193	1.000	NaN	NaN	NaN	0.193	1.000
2694	SCNN1D	sodium channel, nonvoltage-gated 1, delta	364741	1	1	1	0	0	0	0	0	1	0	0.194	1.000	NaN	NaN	NaN	0.194	1.000
2695	FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	94759	1	1	1	0	1	0	0	0	0	0	0.194	0.703	NaN	NaN	NaN	0.194	1.000
2696	RBM24	RNA binding motif protein 24	141427	1	1	1	0	0	1	0	0	0	0	0.194	0.815	NaN	NaN	NaN	0.194	1.000
2697	SPATS1	spermatogenesis associated, serine-rich 1	226848	1	1	1	0	0	1	0	0	0	0	0.194	0.769	NaN	NaN	NaN	0.194	1.000
2698	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	3562953	13	11	13	2	4	2	0	1	6	0	0.0860	0.317	0.364	0.741	0.558	0.194	1.000
2699	ACRC	acidic repeat containing	407691	2	2	2	0	0	1	0	1	0	0	0.0481	0.707	0.631	0.961	1.000	0.194	1.000
2700	ZNF615	zinc finger protein 615	543672	1	1	1	0	0	0	0	1	0	0	0.194	0.873	NaN	NaN	NaN	0.194	1.000
2701	LONRF2	LON peptidase N-terminal domain and ring finger 2	401672	1	1	1	0	0	0	0	1	0	0	0.194	0.850	NaN	NaN	NaN	0.194	1.000
2702	ANGPTL1	angiopoietin-like 1	366474	1	1	1	0	0	1	0	0	0	0	0.194	0.769	NaN	NaN	NaN	0.194	1.000
2703	PNMA5	paraneoplastic antigen like 5	332233	1	1	1	0	0	0	1	0	0	0	0.194	0.762	NaN	NaN	NaN	0.194	1.000
2704	ZNF621	zinc finger protein 621	281244	1	1	1	0	0	1	0	0	0	0	0.194	0.762	NaN	NaN	NaN	0.194	1.000
2705	THAP7	THAP domain containing 7	142232	1	1	1	1	0	1	0	0	0	0	0.194	0.942	NaN	NaN	NaN	0.194	1.000
2706	OPA3	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	227838	1	1	1	0	0	1	0	0	0	0	0.195	0.649	NaN	NaN	NaN	0.195	1.000
2707	GPR183	G protein-coupled receptor 183	268139	1	1	1	0	0	0	1	0	0	0	0.195	0.766	NaN	NaN	NaN	0.195	1.000
2708	DGUOK	deoxyguanosine kinase	210339	1	1	1	1	0	1	0	0	0	0	0.195	0.919	NaN	NaN	NaN	0.195	1.000
2709	PHACTR1	phosphatase and actin regulator 1	390416	2	2	2	0	0	1	0	0	1	0	0.0800	0.699	0.316	0.569	0.604	0.195	1.000
2710	CENPK	centromere protein K	200599	1	1	1	0	1	0	0	0	0	0	0.195	0.657	NaN	NaN	NaN	0.195	1.000
2711	PRKCSH	protein kinase C substrate 80K-H	354631	2	2	2	1	0	1	1	0	0	0	0.0483	0.847	0.849	0.639	1.000	0.195	1.000
2712	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	176023	1	1	1	0	1	0	0	0	0	0	0.195	0.694	NaN	NaN	NaN	0.195	1.000
2713	RELA	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	356092	1	1	1	0	0	1	0	0	0	0	0.195	0.681	NaN	NaN	NaN	0.195	1.000
2714	YIF1B	Yip1 interacting factor homolog B (S. cerevisiae)	204522	2	2	2	0	1	0	0	0	1	0	0.0491	0.653	0.918	0.910	0.986	0.195	1.000
2715	TNF	tumor necrosis factor (TNF superfamily, member 2)	176628	1	1	1	0	1	0	0	0	0	0	0.195	0.630	NaN	NaN	NaN	0.195	1.000
2716	PIWIL3	piwi-like 3 (Drosophila)	669509	2	2	2	0	1	1	0	0	0	0	0.0957	0.552	0.660	0.256	0.506	0.195	1.000
2717	VPRBP	Vpr (HIV-1) binding protein	1011112	2	2	2	0	1	1	0	0	0	0	0.283	0.550	0.105	0.364	0.171	0.195	1.000
2718	ZNF219	zinc finger protein 219	253404	2	2	2	0	1	0	0	0	1	0	0.0578	0.689	0.544	0.860	0.839	0.195	1.000
2719	ARMC2	armadillo repeat containing 2	610655	2	2	2	0	1	0	0	0	1	0	0.150	0.485	0.612	0.0566	0.324	0.195	1.000
2720	U2AF1L4	U2 small nuclear RNA auxiliary factor 1-like 4	167824	1	1	1	0	0	1	0	0	0	0	0.195	0.774	NaN	NaN	NaN	0.195	1.000
2721	TYRP1	tyrosinase-related protein 1	397338	1	1	1	0	0	1	0	0	0	0	0.195	0.769	NaN	NaN	NaN	0.195	1.000
2722	ITGB8	integrin, beta 8	581347	2	2	2	1	1	1	0	0	0	0	0.0618	0.798	0.809	0.320	0.786	0.195	1.000
2723	ZXDB	zinc finger, X-linked, duplicated B	347943	1	1	1	0	1	0	0	0	0	0	0.195	0.636	NaN	NaN	NaN	0.195	1.000
2724	DCAF12L2	DDB1 and CUL4 associated factor 12-like 2	337092	2	2	2	0	1	1	0	0	0	0	0.0885	0.419	0.466	0.240	0.549	0.195	1.000
2725	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	813990	2	2	2	0	0	0	0	1	1	0	0.252	0.858	0.336	0.0346	0.192	0.195	1.000
2726	GRB7	growth factor receptor-bound protein 7	402133	1	1	1	0	0	0	1	0	0	0	0.196	0.817	NaN	NaN	NaN	0.196	1.000
2727	KRT84	keratin 84	385680	1	1	1	0	0	0	1	0	0	0	0.196	0.810	NaN	NaN	NaN	0.196	1.000
2728	GPATCH1	G patch domain containing 1	670162	2	2	2	1	0	1	0	1	0	0	0.130	0.864	0.133	0.972	0.373	0.196	1.000
2729	SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	370878	2	2	2	0	1	1	0	0	0	0	0.0486	0.442	0.915	0.795	1.000	0.196	1.000
2730	MLF2	myeloid leukemia factor 2	173790	1	1	1	0	0	0	0	0	1	0	0.196	0.770	NaN	NaN	NaN	0.196	1.000
